query_id,method,P@5,P@10,R@5,R@10,RR,num_relevant_labeled
q01,bm25,0.0,0.0,0.0,0.0,0.0,1
q01,semantic,0.2,0.1,1.0,1.0,1.0,1
q02,bm25,0.2,0.1,1.0,1.0,0.2,1
q02,semantic,0.2,0.1,1.0,1.0,1.0,1
q03,bm25,0.2,0.1,1.0,1.0,1.0,1
q03,semantic,0.2,0.1,1.0,1.0,0.3333333333333333,1
q04,bm25,0.2,0.1,1.0,1.0,1.0,1
q04,semantic,0.2,0.1,1.0,1.0,1.0,1
q05,bm25,0.2,0.1,1.0,1.0,1.0,1
q05,semantic,0.2,0.1,1.0,1.0,0.25,1
q06,bm25,0.2,0.1,1.0,1.0,1.0,1
q06,semantic,0.0,0.0,0.0,0.0,0.0,1
q07,bm25,0.2,0.1,1.0,1.0,1.0,1
q07,semantic,0.0,0.1,0.0,1.0,0.16666666666666666,1
q08,bm25,0.2,0.1,1.0,1.0,1.0,1
q08,semantic,0.2,0.1,1.0,1.0,1.0,1
q09,bm25,0.2,0.1,1.0,1.0,1.0,1
q09,semantic,0.0,0.0,0.0,0.0,0.0,1
q10,bm25,0.2,0.1,1.0,1.0,1.0,1
q10,semantic,0.0,0.0,0.0,0.0,0.0,1
q11,bm25,0.2,0.1,1.0,1.0,1.0,1
q11,semantic,0.0,0.0,0.0,0.0,0.0,1
q12,bm25,0.2,0.1,1.0,1.0,0.5,1
q12,semantic,0.0,0.0,0.0,0.0,0.0,1
q13,bm25,0.2,0.1,1.0,1.0,1.0,1
q13,semantic,0.0,0.1,0.0,1.0,0.1111111111111111,1
q14,bm25,0.2,0.1,1.0,1.0,0.2,1
q14,semantic,0.0,0.0,0.0,0.0,0.0,1
q15,bm25,0.2,0.1,1.0,1.0,0.5,1
q15,semantic,0.0,0.0,0.0,0.0,0.0,1
q16,bm25,0.2,0.1,1.0,1.0,0.3333333333333333,1
q16,semantic,0.0,0.1,0.0,1.0,0.125,1
q17,bm25,0.2,0.1,1.0,1.0,0.25,1
q17,semantic,0.0,0.0,0.0,0.0,0.0,1
q18,bm25,0.2,0.1,1.0,1.0,0.25,1
q18,semantic,0.2,0.1,1.0,1.0,1.0,1
q19,bm25,0.2,0.1,1.0,1.0,0.25,1
q19,semantic,0.2,0.1,1.0,1.0,0.2,1
q20,bm25,0.2,0.1,1.0,1.0,0.2,1
q20,semantic,0.0,0.0,0.0,0.0,0.0,1
q21,bm25,0.2,0.1,1.0,1.0,1.0,1
q21,semantic,0.0,0.0,0.0,0.0,0.0,1
q22,bm25,0.2,0.1,1.0,1.0,1.0,1
q22,semantic,0.0,0.0,0.0,0.0,0.0,1
q23,bm25,0.2,0.1,1.0,1.0,1.0,1
q23,semantic,0.0,0.0,0.0,0.0,0.0,1
q24,bm25,0.2,0.1,1.0,1.0,1.0,1
q24,semantic,0.2,0.1,1.0,1.0,1.0,1
